transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,Revenue,Month,Weekday,Hour,store_location_enc,product_category_enc,Month_enc,Weekday_enc,Total_Sale,Peak_Time,Cluster,Sales_Class
116867,2023-06-03,14:04:38,2,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,7.5,Jun,Sat,14,2,2,3,2,7.5,0,1,1
119521,2023-06-05,17:41:39,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,Jun,Mon,17,2,0,3,1,3.75,0,1,0
105519,2023-05-23,16:56:17,3,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,9.0,May,Tue,16,2,2,5,5,9.0,0,1,1
29542,2023-02-21,15:40:56,3,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,11.25,Feb,Tue,15,2,2,1,5,11.25,0,1,1
127222,2023-06-12,09:23:04,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75,Jun,Mon,9,1,2,3,1,3.75,1,0,0
27954,2023-02-19,08:25:31,1,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,3.5,Feb,Sun,8,1,2,1,3,3.5,1,0,0
80942,2023-05-01,14:15:54,1,3,Astoria,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,May,Mon,14,0,8,5,1,3.1,0,1,0
144360,2023-06-26,10:35:32,1,3,Astoria,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,Jun,Mon,10,0,8,3,1,3.0,1,0,0
120145,2023-06-06,13:22:28,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,Jun,Tue,13,0,8,3,5,2.5,0,1,0
89368,2023-05-09,09:55:38,1,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,May,Tue,9,1,8,5,5,2.5,1,0,0
66361,2023-04-14,10:33:18,1,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,Apr,Fri,10,2,8,0,0,3.0,1,0,0
118869,2023-06-05,11:31:29,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,Jun,Mon,11,2,8,3,1,2.5,1,0,0
149002,2023-06-30,10:54:04,2,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,8.5,Jun,Fri,10,2,2,3,0,8.5,1,0,1
74379,2023-04-23,15:52:56,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,Apr,Sun,15,2,2,0,3,7.0,0,1,1
50208,2023-03-24,14:20:26,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,Mar,Fri,14,2,0,4,0,4.5,0,1,0
65211,2023-04-13,08:33:00,2,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,5.0,Apr,Thu,8,2,8,0,4,5.0,1,0,1
12563,2023-01-23,06:54:59,1,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,4.25,Jan,Mon,6,1,2,2,1,4.25,0,0,0
78693,2023-04-28,15:41:57,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,2.2,Apr,Fri,15,1,2,0,0,2.2,0,1,0
117782,2023-06-04,11:55:06,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,Jun,Sun,11,2,8,3,3,6.0,1,0,1
140912,2023-06-23,12:01:49,2,8,Hell's Kitchen,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,4.0,Jun,Fri,12,1,2,3,0,4.0,0,0,0
379,2023-01-01,16:17:06,2,3,Astoria,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,4.9,Jan,Sun,16,0,2,2,3,4.9,0,1,1
12110,2023-01-22,07:17:16,2,3,Astoria,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2,Jan,Sun,7,0,8,2,3,6.2,1,0,1
28711,2023-02-20,09:44:30,1,8,Hell's Kitchen,1,18.0,Coffee beans,Organic Beans,Brazilian - Organic,18.0,Feb,Mon,9,1,3,1,1,18.0,1,2,1
84026,2023-05-04,13:45:56,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,May,Thu,13,2,8,5,4,2.5,0,1,0
102125,2023-05-20,13:58:51,2,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,5.0,May,Sat,13,2,8,5,2,5.0,0,1,1
106994,2023-05-25,08:22:06,2,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,5.0,May,Thu,8,1,8,5,4,5.0,1,0,1
19546,2023-02-04,17:56:04,1,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,Feb,Sat,17,0,8,1,2,2.5,0,1,0
4474,2023-01-09,07:52:18,1,5,Lower Manhattan,13,8.95,Loose Tea,Black tea,English Breakfast,8.95,Jan,Mon,7,2,6,2,1,8.95,1,0,1
71512,2023-04-20,09:18:47,2,5,Lower Manhattan,65,0.8,Flavours,Sugar free syrup,Sugar Free Vanilla syrup,1.6,Apr,Thu,9,2,5,0,4,1.6,1,0,0
78186,2023-04-28,07:05:35,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,Apr,Fri,7,2,2,0,0,4.4,1,0,0
61582,2023-04-09,07:08:31,2,8,Hell's Kitchen,63,0.8,Flavours,Regular syrup,Carmel syrup,1.6,Apr,Sun,7,1,5,0,3,1.6,1,0,0
136806,2023-06-20,07:40:45,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7.0,Jun,Tue,7,2,4,3,5,7.0,1,0,1
67407,2023-04-15,13:46:46,2,8,Hell's Kitchen,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7.0,Apr,Sat,13,1,4,0,2,7.0,0,1,1
87209,2023-05-07,10:41:10,1,5,Lower Manhattan,73,3.75,Bakery,Pastry,Almond Croissant,3.75,May,Sun,10,2,0,5,3,3.75,1,0,0
6441,2023-01-12,11:29:42,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,3.25,Jan,Thu,11,2,0,2,4,3.25,1,0,0
17878,2023-02-01,19:34:12,1,3,Astoria,70,3.25,Bakery,Scone,Cranberry Scone,3.25,Feb,Wed,19,0,0,1,6,3.25,0,1,0
55320,2023-04-01,12:52:27,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,Apr,Sat,12,0,2,0,2,6.2,0,0,1
8723,2023-01-16,08:59:17,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,Jan,Mon,8,1,4,2,1,4.5,1,0,0
135984,2023-06-19,09:35:57,2,5,Lower Manhattan,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,6.0,Jun,Mon,9,2,2,3,1,6.0,1,0,1
34297,2023-03-01,17:58:46,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0,Mar,Wed,17,2,2,4,6,5.0,0,1,1
96072,2023-05-15,10:20:02,1,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2.5,May,Mon,10,0,2,5,1,2.5,1,0,0
80925,2023-05-01,14:05:07,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,3.75,May,Mon,14,1,0,5,1,3.75,0,1,0
41125,2023-03-11,16:08:29,1,5,Lower Manhattan,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,3.0,Mar,Sat,16,2,8,4,2,3.0,0,1,0
